Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min,TD targets/Mean,TD targets/Stdev,TD targets/Max,TD targets/Min,actions/Mean,actions/Stdev,actions/Max,actions/Min
22,0.0,1.0,924.0,22.0,36.0,924.0,0.0,,,0.0,3.2398674488067627,,,,,,,,,,,,,,,,61.261770540195485,31.350431308546018,111.29024027085075,4.149677936541769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.0,1.0,955.0,23.0,31.0,955.0,0.0,,,0.0,3.3841171264648438,,,,,,,,,,,,,,,,50.44335794544191,27.404914502689763,95.14098180106001,3.172869631366663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.0,1.0,992.0,24.0,37.0,992.0,0.0,,,0.0,3.5486927032470703,,,,,,,,,,,,,,,,57.44189676374356,30.541177185184885,107.56735288176051,3.805921916572429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.0,1.0,1029.0,25.0,37.0,1029.0,0.0,,,0.0,3.715813398361206,,,,,,,,,,,,,,,,60.62734891533912,31.38808422883666,111.33661035365961,3.9050332358379576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,30.0,0.0,1060.0,26.0,31.0,1060.0,-0.019007538988776357,70.24331931927578,70.24331931927578,1.0,5.840614557266235,,,,2.3117351879676185,2.589041341332708,14.685829162597656,0.4988178312778473,9.999999999999998e-05,2.710505431213761e-20,0.0001,0.0001,21.788574,19.682339,88.60724,2.6238267,25.163935898020757,17.90421689160923,63.07323150594881,1.6501370443422054,,,,,,,,,,,,,,,,,,,,,4.992179,1.755421,8.205654,-0.10111399,3.843469042073243,0.6099994622695698,5.561840267946367,0.9257616618426346,0.06618569782937943,0.7234720300730132,1.1137493412213886,-1.1486133193588883
27,53.0,0.0,1083.0,27.0,23.0,1083.0,0.009232588812075546,40.311469695035186,40.311469695035186,1.0,6.7546069622039795,,,,0.89001802964644,0.2630772369074022,1.4847588539123535,0.5032217502593994,9.999999999999999e-05,1.3552527156068805e-20,0.0001,0.0001,4.7415633,1.6174895,9.176819,2.817561,14.48247917063123,10.570801023820293,37.354039884636364,-1.2990559165146767,,,,,,,,,,,,,,,,,,,,,6.1980405,1.8680601,7.9197097,0.8516051,3.982035873432739,0.6305495645799314,5.684709525562352,-0.09389203201269325,0.16934303611458545,0.8746788773334507,1.1818905023942345,-1.1484959975730664
28,75.0,0.0,1105.0,28.0,22.0,1105.0,-0.005126282201614717,37.42088369375628,37.42088369375628,1.0,7.586733818054199,,,,0.6396471815449851,0.3436329119294209,2.0444276332855225,0.2794051170349121,9.999999999999999e-05,1.3552527156068805e-20,0.0001,0.0001,3.8441646,1.5076903,9.669178,2.132273,15.965000438671053,9.446749185519245,34.2510945426754,0.040222557260505276,,,,,,,,,,,,,,,,,,,,,4.250249,1.0889902,6.024232,1.494049,4.107841811155474,0.6664619694848807,5.825551366067952,-1.2990559165146767,0.1393761022342624,0.8980209672198058,1.1248687521042644,-1.1664519230871295
29,98.0,0.0,1128.0,29.0,23.0,1128.0,0.009646275997400278,29.64130405689928,29.64130405689928,1.0,8.469138622283936,,,,0.4168500995094126,0.12573158963506545,0.659666121006012,0.23242473602294922,9.999999999999999e-05,1.3552527156068805e-20,0.0001,0.0001,3.429993,1.0333544,5.7788997,1.8692592,10.52752613427915,7.880582134178065,27.494922268702098,0.7280197387527325,,,,,,,,,,,,,,,,,,,,,5.46357,1.034984,6.8704443,2.3088865,4.2289948390761785,0.6988727394604942,5.926783920980519,0.040222557260505276,0.14067424024152506,0.9420247644661197,1.2111623601233086,-1.1447703543132066
30,122.0,0.0,1152.0,30.0,24.0,1152.0,-0.015689008270679112,15.101201494614763,15.101201494614763,0.0,9.385553121566772,,,,0.24618323859961136,0.06641148305714628,0.38695937395095825,0.11296725273132324,9.999999999999998e-05,2.710505431213761e-20,0.0001,0.0001,2.888906,0.8565217,5.100767,1.6815394,-0.3282348261093276,7.31456958403023,15.333310962506065,-10.34012957407321,,,,,,,,,,,,,,,,,,,,,4.276125,1.5877191,7.493079,2.3318818,4.298847043337396,0.7404170385064655,6.083125550008839,-1.2990559165146767,0.09295885468066598,0.9591623979845123,1.2355780821934406,-1.1920726121044005
31,146.0,0.0,1176.0,31.0,24.0,1176.0,-0.007978455690650827,18.203673193783125,18.203673193783125,1.0,10.28011178970337,,,,0.19287836000971173,0.0629224189490234,0.3493959307670593,0.09133923798799515,9.999999999999998e-05,2.710505431213761e-20,0.0001,0.0001,2.566769,0.5661713,4.117069,1.962427,3.4678121169011304,6.360249607496958,17.54686695527965,-6.5188453565070015,,,,,,,,,,,,,,,,,,,,,4.03589,1.5750191,6.223023,1.2872661,4.442921260675484,0.8314938950257353,6.1823213441869065,-1.2990559165146767,0.1649453326462537,0.9487718453355287,1.2001854484304197,-1.2153166855379078
